dataset,attn_type,rpe_type,epochs_total,epoch,lr,batch_size,train_loss,train_acc,train_time_sec,test_loss,test_acc,eval_time_sec
cifar10,favor+,string,20,18,0.001,128,0.7540792,0.7298,17.54948831,0.945140496,0.6707,1.837876797
cifar10,favor+,string,20,19,0.001,128,0.729967377,0.73798,18.14577055,0.934818509,0.6747,2.069874048
cifar10,favor+,string,20,20,0.001,128,0.702767609,0.74606,17.51063275,0.956793648,0.673,1.869326591
cifar10,relu,none,20,1,0.001,128,1.987400355,0.2462,15.35926247,1.834831541,0.2977,1.670247316
cifar10,relu,none,20,2,0.001,128,1.878605854,0.2837,14.34871101,1.853961864,0.2985,1.661176443
cifar10,relu,none,20,3,0.001,128,1.781106108,0.32706,14.45673347,1.748729317,0.3269,1.637090445
cifar10,relu,none,20,4,0.001,128,1.726316231,0.35332,14.54051924,1.735161119,0.357,2.239742756
cifar10,relu,none,20,5,0.001,128,1.666911662,0.38076,14.64498687,1.626531388,0.4011,1.592411041
cifar10,relu,none,20,6,0.001,128,1.617337405,0.40066,14.41166425,1.596719954,0.4128,1.649665833
cifar10,relu,none,20,7,0.001,128,1.568788139,0.42312,14.54629183,1.526436706,0.4451,1.633876085
cifar10,relu,none,20,8,0.001,128,1.523379775,0.44126,15.02361393,1.516267719,0.4466,1.969667673
cifar10,relu,none,20,9,0.001,128,1.476291392,0.46116,14.51762724,1.507831964,0.4552,1.64076829
cifar10,relu,none,20,10,0.001,128,1.44454312,0.47246,14.2660656,1.426039456,0.4789,1.600349188
cifar10,relu,none,20,11,0.001,128,1.406225057,0.48702,14.25357556,1.424656825,0.4822,1.822063446
cifar10,relu,none,20,12,0.001,128,1.385385533,0.49782,14.999331,1.383236606,0.4979,1.69554472
cifar10,relu,none,20,13,0.001,128,1.347589362,0.51148,14.40377378,1.352352656,0.5121,1.624588251
cifar10,relu,none,20,14,0.001,128,1.331081722,0.5166,14.39194059,1.350947276,0.5071,1.626155615
cifar10,relu,none,20,15,0.001,128,1.29733776,0.53094,14.4129715,1.348841142,0.5155,2.223840237
cifar10,relu,none,20,16,0.001,128,1.274319047,0.53982,14.67322731,1.29613763,0.5333,1.618876934
cifar10,relu,none,20,17,0.001,128,1.251086135,0.54904,14.41111255,1.318642683,0.5241,1.673820496
cifar10,relu,none,20,18,0.001,128,1.226907971,0.55564,14.36712599,1.292936134,0.5311,1.625773907
cifar10,relu,none,20,19,0.001,128,1.206477042,0.56496,14.94857669,1.265617348,0.5435,2.057780266
cifar10,relu,none,20,20,0.001,128,1.182227045,0.57138,14.4043622,1.257635199,0.5478,1.645160675
cifar10,relu,rope,20,1,0.001,128,1.818084358,0.32434,15.15403342,1.569745787,0.4275,1.941529751
cifar10,relu,rope,20,2,0.001,128,1.524893619,0.4425,15.81213117,1.486642689,0.4602,1.670294523
cifar10,relu,rope,20,3,0.001,128,1.414591599,0.48602,15.42406607,1.379582523,0.4914,1.62437582
cifar10,relu,rope,20,4,0.001,128,1.357078265,0.50978,15.23474264,1.364463762,0.5094,2.062480688
cifar10,relu,rope,20,5,0.001,128,1.300679324,0.53062,15.50349641,1.282356284,0.5389,1.593961
cifar10,relu,rope,20,6,0.001,128,1.258234152,0.54592,15.35995889,1.26076691,0.5456,1.762571335
cifar10,relu,rope,20,7,0.001,128,1.223107523,0.55886,15.14053869,1.249113676,0.5484,2.122108221
cifar10,relu,rope,20,8,0.001,128,1.191092399,0.57072,15.34326982,1.247189458,0.5597,1.643639803
cifar10,relu,rope,20,9,0.001,128,1.15955122,0.58218,15.08484912,1.225398405,0.5586,1.672210217
cifar10,relu,rope,20,10,0.001,128,1.125167474,0.59258,15.10536647,1.173957663,0.5754,1.994964123
cifar10,relu,rope,20,11,0.001,128,1.096532146,0.6051,15.63675332,1.160731603,0.5879,1.677206993
cifar10,relu,rope,20,12,0.001,128,1.071977645,0.61574,15.11714745,1.163657077,0.585,1.669953823
cifar10,relu,rope,20,13,0.001,128,1.046030251,0.62422,15.23953056,1.150643326,0.5907,2.113929272
cifar10,relu,rope,20,14,0.001,128,1.022248165,0.63156,15.64678144,1.161225158,0.5859,1.702584743
cifar10,relu,rope,20,15,0.001,128,0.995716427,0.6423,15.34403968,1.125536363,0.5978,1.655342579
cifar10,relu,rope,20,16,0.001,128,0.9689274,0.6515,15.14186382,1.112905754,0.6078,2.212899208
cifar10,relu,rope,20,17,0.001,128,0.950238049,0.6596,15.465626,1.110528381,0.6072,1.595402241
cifar10,relu,rope,20,18,0.001,128,0.921787384,0.66886,15.11278844,1.113068192,0.6095,1.663317442
cifar10,relu,rope,20,19,0.001,128,0.901265894,0.6746,15.08163643,1.120832997,0.6096,2.1742239
cifar10,relu,rope,20,20,0.001,128,0.880545702,0.68492,15.67238665,1.091996195,0.6202,1.724400759
cifar10,relu,classic,20,1,0.001,128,1.928461103,0.27288,15.37101126,2.25014004,0.1726,1.837152004
cifar10,relu,classic,20,2,0.001,128,1.900498338,0.27338,15.74683762,1.85377197,0.2926,1.632310867
cifar10,relu,classic,20,3,0.001,128,1.769357101,0.3325,14.83364868,1.719819576,0.3542,1.634917974
cifar10,relu,classic,20,4,0.001,128,1.792907579,0.32314,14.92240977,1.726431401,0.3528,1.628057718
cifar10,relu,classic,20,5,0.001,128,1.821801253,0.31198,16.14733028,1.744140672,0.3539,1.736617565
cifar10,relu,classic,20,6,0.001,128,1.775491629,0.33188,15.07388878,1.758089067,0.3438,1.603547573
cifar10,relu,classic,20,7,0.001,128,1.743435817,0.34548,15.21311688,1.691047427,0.3662,1.661120892
cifar10,relu,classic,20,8,0.001,128,1.720462798,0.3575,15.69262695,1.694573668,0.3694,1.82826829
cifar10,relu,classic,20,9,0.001,128,1.828128475,0.30578,15.06541419,1.788600501,0.3203,1.66180253
cifar10,relu,classic,20,10,0.001,128,2.061082105,0.231,15.33617806,1.973674932,0.2387,1.657257318
cifar10,relu,classic,20,11,0.001,128,1.8607661,0.28548,16.09831381,1.782682562,0.325,1.771743298
cifar10,relu,classic,20,12,0.001,128,1.756494349,0.3306,15.40826726,1.68585591,0.364,1.634247541
cifar10,relu,classic,20,13,0.001,128,1.698160717,0.35702,15.33773279,1.656840202,0.3769,1.832534552
cifar10,relu,classic,20,14,0.001,128,1.648914485,0.37952,16.07236958,1.612978151,0.3921,1.622203588
cifar10,relu,classic,20,15,0.001,128,1.670928147,0.36846,14.84911561,1.619245211,0.3924,1.61165905
cifar10,relu,classic,20,16,0.001,128,1.636896907,0.38508,14.95462084,1.623220214,0.4037,1.628998518
cifar10,relu,classic,20,17,0.001,128,1.587755548,0.40376,15.79899168,1.566896921,0.4078,1.73691988
cifar10,relu,classic,20,18,0.001,128,1.556597772,0.42018,15.08220077,1.541184887,0.4254,1.623514414
cifar10,relu,classic,20,19,0.001,128,1.566243705,0.41592,15.08645415,1.530466943,0.4362,1.674601078
cifar10,relu,classic,20,20,0.001,128,1.609599708,0.40736,15.86735129,1.827332373,0.306,1.774898052
cifar10,relu,string,20,1,0.001,128,1.836850619,0.30804,15.35937548,1.636987751,0.3946,1.667007208
cifar10,relu,string,20,2,0.001,128,1.499499631,0.44904,15.47336388,1.416269133,0.4871,2.237039566
cifar10,relu,string,20,3,0.001,128,1.32860828,0.5187,15.4310832,1.25626172,0.5403,1.647939682
cifar10,relu,string,20,4,0.001,128,1.21366855,0.55576,15.33575845,1.237762214,0.5466,1.681541443
cifar10,relu,string,20,5,0.001,128,1.149340581,0.5824,16.07662535,1.128017155,0.5863,1.948536634
cifar10,relu,string,20,6,0.001,128,1.081086343,0.61114,15.20680761,1.087900783,0.606,1.653236151
cifar10,relu,string,20,7,0.001,128,1.030535162,0.62938,15.19896436,1.050192695,0.6225,1.629460812
cifar10,relu,string,20,8,0.001,128,0.983373384,0.64756,16.3105638,1.039915488,0.6257,1.720739126
cifar10,relu,string,20,9,0.001,128,0.934968166,0.6648,15.30658007,1.02494483,0.6337,1.693164349
cifar10,relu,string,20,10,0.001,128,0.899727287,0.67802,15.24600816,0.96645591,0.6544,1.736717939
cifar10,relu,string,20,11,0.001,128,0.863414214,0.69014,15.96178675,0.971441866,0.6578,1.67985177
cifar10,relu,string,20,12,0.001,128,0.829915058,0.70284,15.37725067,0.928321661,0.6735,1.665130138
cifar10,relu,string,20,13,0.001,128,0.799027,0.71334,15.48049498,0.942962293,0.669,2.064931154
cifar10,relu,string,20,14,0.001,128,0.766338665,0.72466,15.77374125,0.923459747,0.6784,1.608727217
cifar10,relu,string,20,15,0.001,128,0.737625868,0.737,15.25541306,0.936375386,0.6815,1.614899874
cifar10,relu,string,20,16,0.001,128,0.706805964,0.7472,15.25488973,0.900369007,0.6886,2.208524227
cifar10,relu,string,20,17,0.001,128,0.678258856,0.7558,15.91065669,0.885131884,0.6928,1.653141737
cifar10,relu,string,20,18,0.001,128,0.647158146,0.7671,15.45955682,0.918945554,0.6832,1.668266773
cifar10,relu,string,20,19,0.001,128,0.62258069,0.77598,16.03544378,0.92852249,0.6868,2.0937922
cifar10,relu,string,20,20,0.001,128,0.600674806,0.78248,15.39312077,0.929182826,0.6943,1.677872896
